
Host: Davids-iMac.local

Timers On : Wed Nov  8 16:46:13 2017
Timers Off: Wed Nov  8 16:46:47 2017

Wall Time:       33.38 seconds

| | | JK: J1                :      0.083u      0.000s      0.054w     57 calls
| | | JK: J2                :      0.033u      0.000s      0.039w     57 calls
| | JK: K                   :      1.550u      0.000s      0.923w     57 calls
| | | JK: K1                :      1.267u      0.000s      0.768w     57 calls
| | | JK: K2                :      0.283u      0.000s      0.154w     57 calls
| JK: AO2USO                :      0.000u      0.000s      0.000w     57 calls
HF: Form F                  :      0.000u      0.000s      0.001w     57 calls
HF: DIIS                    :      0.033u      0.050s      0.026w     57 calls
| DIISManager::add_entry    :      0.000u      0.017s      0.007w     52 calls
| DIISManager::extrapolate  :      0.000u      0.033s      0.011w     47 calls
| | bMatrix setup           :      0.000u      0.017s      0.005w     47 calls
| | bMatrix pseudoinverse   :      0.000u      0.000s      0.002w     47 calls
| | New vector              :      0.000u      0.017s      0.004w     47 calls
HF: Form C                  :      0.083u      0.000s      0.040w     57 calls
HF: Form D                  :      0.000u      0.000s      0.001w     57 calls
DFMP2 Singles               :      0.000u      0.000s      0.001w      5 calls
DFMP2 Aia                   :      1.550u      0.033s      0.966w      5 calls
| DFMP2 (A|mn)              :      1.217u      0.000s      0.732w      5 calls
| DFMP2 (A|mn)C_mi          :      0.033u      0.000s      0.015w      5 calls
| DFMP2 (A|mi)C_na          :      0.017u      0.000s      0.007w      5 calls
| DFMP2 Aia Write           :      0.000u      0.000s      0.004w      5 calls
DFMP2 iaQ                   :      0.367u      0.067s      0.293w      5 calls
| DFMP2 Metric              :      0.283u      0.033s      0.190w      5 calls
| DFMP2 Aia Read            :      0.000u      0.000s      0.004w      5 calls
| DFMP2 (Q|A)(A|ia)         :      0.067u      0.000s      0.039w     10 calls
| DFMP2 Qia Write           :      0.000u      0.000s      0.003w      5 calls
| DFMP2 Qia Read            :      0.000u      0.000s      0.002w      5 calls
| DFMP2 Bia Write           :      0.000u      0.000s      0.003w      5 calls
DFMP2 aiQ                   :      0.000u      0.017s      0.052w      5 calls
DFMP2 Tij                   :      0.217u      0.050s      0.280w      5 calls
| DFMP2 Qia Read            :      0.000u      0.000s      0.003w     10 calls
| DFMP2 Cia Read            :      0.000u      0.017s      0.002w      5 calls
| DFMP2 I                   :      0.067u      0.000s      0.045w      5 calls
| DFMP2 T2                  :      0.017u      0.000s      0.016w      5 calls
| DFMP2 G                   :      0.083u      0.000s      0.045w      5 calls
| DFMP2 Pab                 :      0.017u      0.000s      0.012w      5 calls
| DFMP2 Gia Write           :      0.000u      0.033s      0.004w      5 calls
DFMP2 Tab                   :      0.117u      0.017s      0.170w      5 calls
| DFMP2 Qai Read            :      0.000u      0.000s      0.003w     10 calls
| DFMP2 I                   :      0.083u      0.000s      0.045w      5 calls
| DFMP2 T2                  :      0.017u      0.000s      0.009w      5 calls
| DFMP2 Pij                 :      0.017u      0.000s      0.005w      5 calls
DFMP2 gamma                 :      0.033u      0.017s      0.036w      5 calls
| DFMP2 Gia Read            :      0.000u      0.000s      0.002w      5 calls
| DFMP2 Cia Read            :      0.000u      0.017s      0.002w      5 calls
| DFMP2 g                   :      0.033u      0.000s      0.020w      5 calls
DFMP2 Gia                   :      0.000u      0.050s      0.178w      5 calls
| DFMP2 Gia Read            :      0.000u      0.000s      0.002w      5 calls
| DFMP2 aiG Write           :      0.000u      0.000s      0.004w      5 calls
DFMP2 AB^x                  :      0.267u      0.017s      0.425w      5 calls
DFMP2 Amn^x                 :      4.933u      0.033s      2.994w      5 calls
DFMP2 L                     :      1.583u      0.067s      1.013w      5 calls
DFMP2 P                     :      0.000u      0.000s      0.025w      5 calls
DFMP2 W                     :      0.000u      0.000s      0.011w      5 calls
DFMP2 Z                     :      8.067u      0.233s      5.018w      5 calls
| JK: (A|mn)                :      3.533u      0.000s      2.127w      5 calls
